Mass,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24
261.1496153,2374805,13011026,25515941,4664844,5141630,0,0,0,0,0,4867723,2594611,0,0,0,16527695,10254374,8743251,0,6119474,3946911,4206119,9926356,8741277
262.0356914,3262954,4673268,0,0,0,5067759,0,0,0,0,0,0,0,0,3201131,0,0,0,0,0,5088163,0,0,0
262.0357316,0,0,4184661,0,0,0,0,0,0,0,0,0,0,6766147,0,0,5132174,4114011,0,0,0,0,0,5287732
262.0390624,0,0,2830044,0,0,0,0,0,0,0,0,0,0,0,0,0,6459384,0,0,0,2192394,0,4290744,0
262.0543184,2603169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2550979,0,0,0,0,0,0
262.0568374,0,0,0,0,2647257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262.0680771,2547766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262.0720735,0,0,0,3771713,0,0,0,4649064,4596861,0,4562590,0,0,0,0,0,0,0,12077046,0,0,0,0,0
262.0754778,0,4270303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7023622,0,0,0,0,0,5373585,3013833
262.0833512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3749521,0
262.0932437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2964356,0,0,0,0,0
262.1084729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9583401,0,5187525,0,0,0,0,0
262.1196931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2681877,0,0,0,0,0,0
262.1448766,0,4256898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2382219,3102332
262.9801987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2249785,0
263.0132017,0,5071524,0,0,0,0,0,0,2604637,0,0,0,0,0,0,0,0,0,3841953,5244836,3286662,0,0,0
263.019725,4271607,4514288,4565306,2942358,2903834,9617749,3021734,3505519,3949227,3662695,4295204,0,0,0,2702583,16094299,12671333,0,7904351,0,4306100,3820829,8032677,8587431
263.0231114,0,4329462,0,0,0,0,3976877,0,0,6380364,0,0,26646566,27995316,0,32595942,27004334,9092018,0,0,0,15141651,12210412,12187822
263.0309722,0,0,0,0,2427287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263.0383693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3529830,0,0,0,0,0,0,0,0
263.0561101,28563441,67731217,74066851,11407202,30414157,25987365,9659914,13083800,19707705,10193598,21323391,6765123,50132074,45603065,17633416,100409166,71551245,42591672,43834283,37108987,39038785,42499918,60279146,58961138
263.059487,18091768,35519512,45243562,0,10263571,0,0,0,10759040,7915267,0,0,46063472,24875264,0,101984601,125676823,49154239,46261682,25879810,34826568,62996308,58239601,51712761
263.0673278,0,0,0,0,0,8425726,0,0,0,2852030,0,0,0,0,0,0,0,6537520,0,5750834,0,6185154,0,0
263.0713845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3247378
263.0747623,0,0,12118409,0,0,0,0,0,0,0,0,0,0,0,0,0,9427171,8388800,0,0,3251672,0,0,0
263.0772358,0,0,0,0,0,2304731,0,2727746,3087878,0,2765234,0,0,0,0,4377745,15114954,0,0,0,2226805,0,2853763,2201278
263.0924956,38483899,112754515,159570412,23565662,40797327,28442997,10473294,16294240,19838854,15293364,34445371,6608343,51728307,56992581,17893321,142889921,108482934,80322565,43752439,59021637,55918734,62214542,106897328,110940989
263.0958696,8493954,26889561,35750387,0,0,3795260,0,0,0,0,0,0,0,9455756,0,33037003,53249920,27655052,0,14599756,13213909,26604820,24536758,18983620
263.1136257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8224324,6539026,0,0,0,0,2828387,0,0
263.1288811,23217797,91502485,137410102,12409369,27731794,15630020,5304562,11024616,8801780,4503210,17680118,3785275,24522877,22052241,6357866,91987507,67036638,65914450,20125763,37877903,29388379,33497550,67445749,72567688
263.1652671,2177206,12750935,22067839,6486645,3148404,2266548,2123669,0,0,0,4669265,0,9523335,0,2460363,9946342,7849702,9164383,2354910,6225753,4966375,6253294,9967610,9020883
263.2016482,0,0,2165828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263.979442,2903333,0,11059663,0,0,0,0,2389000,0,0,0,0,0,0,0,23827577,0,0,0,3777197,6435903,0,5843141,0
263.9794753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11082375,0,0,0,3168202,0,0
263.9972157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2159428,0,0,0
264.0005606,0,3090974,6261401,0,0,0,0,0,0,0,0,0,0,0,0,8766329,6492427,6923826,5352148,4585558,0,5272461,0,2327640
264.0006087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3752922,0,0,0
264.026205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2101802,0,0,0,0,0,0,0,0,0
264.0335889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5073469,0,0,0,0,0,0,0,3161994
264.0513568,0,0,0,0,0,0,0,4047424,0,0,0,0,0,0,0,0,0,0,0,8845433,0,0,0,0
264.0666237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2325964,0
264.0724828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4232563,4774993,0,0,0,0,0,0,2431976
264.0837039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2124423,0,0,0,0
264.0877347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11983970,0,0,0,0,0
264.0990049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3928425,0,0,0,2827955,2244533
264.1241425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5109387,0,0,0,0,0
264.1605257,0,0,3352785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264.9747284,0,0,9348367,0,0,6071094,0,0,0,0,0,0,0,0,0,18666245,0,0,5163012,0,6074435,0,3517012,0
264.9846201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5528930,0,0,2690199,0,0,0,0,0
264.9989927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2074767,0,0,0,0,0,0,0,0,0
265.0176022,0,5389636,0,0,0,0,0,0,0,0,0,0,0,0,0,10544194,7538575,0,0,0,4745047,2938120,0,4707029
265.020973,0,0,2878630,0,0,0,0,0,0,0,0,0,0,0,0,5328075,0,0,0,0,0,0,0,0
265.0210059,0,2535290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265.035375,17244430,23230466,22517442,7964308,17198984,28019824,8071167,11475513,15074860,8371383,15313178,4458878,44024917,36816473,15687065,63897269,52394814,20472246,36353304,17704321,22893818,18862933,28628605,29224824
265.0387273,5489973,5778023,0,0,5134189,8904439,0,9100736,0,0,0,0,25003355,38535775,0,42695103,0,0,0,5358791,8049472,0,15194115,16380415
265.038764,0,0,4993640,0,0,0,7677701,0,7396403,5524412,0,0,0,0,2757534,0,44374342,10301437,12092895,0,0,15140570,0,0
265.0466224,0,4238469,0,0,0,0,0,3093294,0,0,0,0,0,0,0,7235862,0,2818077,0,0,2918752,0,4916913,0
265.050617,0,2240715,4717343,2116683,0,0,0,0,4658090,0,2301345,0,0,0,0,4152241,0,0,0,2292813,0,2164325,0,2662694
265.0506504,0,0,0,0,2641618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265.0540205,0,0,9750309,0,0,0,0,0,0,0,0,0,0,0,0,7344747,0,6934588,0,0,0,0,0,4328508
265.0618795,0,0,2239780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265.0717605,43884755,117984447,146520327,31933579,141069126,59172154,23536859,36412411,45092468,21193192,63834449,26324109,92494231,94066078,32664274,190275359,213415580,84320768,78378845,68078660,71011649,66110095,432105916,321582783
265.0751268,16162137,33418436,42175757,6536496,11557388,16012097,4894625,0,0,6492813,0,0,42815646,22099492,0,90915112,195931813,49406215,43085668,21834954,28934215,56078228,61799362,49846981
265.0751544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2518472,0,0,0,0,0,0,0,0,0
265.0829928,0,15059281,16383324,4381324,0,8105521,0,4177967,5501003,3010439,5374594,0,6883532,0,0,15151551,0,9866647,0,8192793,7048855,0,0,0
265.0870172,0,0,6077188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3345439,0,2864176,0,0,0,0
265.0928898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8635676,0,0,0,0,0,0,0,0
265.108146,46934807,163831035,218474827,22841410,62465925,39856003,17942039,23928380,29380541,13698265,54058887,5717323,63963098,59656674,19328780,185953160,127836923,117644361,54850978,83000455,74668936,71909577,147280379,148839174
265.1193627,3297836,10255950,13755745,0,0,3654442,0,0,0,0,0,0,0,0,0,8105448,0,7230176,2377560,4828764,4441486,0,0,7085660
265.1445315,33536347,131316024,165533072,8667321,28609475,11736652,5347219,13752318,9131141,4528073,19277630,2975945,30222364,25443110,5939622,98825713,74637146,90533011,24538472,70874314,46725327,40241411,82075706,81995084
265.1557453,0,0,0,0,0,0,0,2467434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
